e_field charge_filename light_filename charge_thresholds light_samples
205.986 packet-0050001-2024_07_01_22_29_56_CDT.h5 THERE_IS_NO_LIGHT_ONLY_DARKNESS high 256
205.986 packet-0050001-2024_07_01_22_39_57_CDT.h5 mpd_run_hvramp_rctl_087_p92.data high 256
205.986 packet-0050001-2024_07_01_22_39_57_CDT.h5 mpd_run_hvramp_rctl_087_p93.data high 256
205.986 packet-0050001-2024_07_01_22_39_57_CDT.h5 mpd_run_hvramp_rctl_087_p94.data high 256
205.986 packet-0050001-2024_07_01_22_49_58_CDT.h5 mpd_run_hvramp_rctl_087_p94.data high 256
205.986 packet-0050001-2024_07_01_22_49_58_CDT.h5 mpd_run_hvramp_rctl_087_p95.data high 256
205.986 packet-0050001-2024_07_01_22_49_58_CDT.h5 mpd_run_hvramp_rctl_087_p96.data high 256
205.986 packet-0050001-2024_07_01_22_59_59_CDT.h5 mpd_run_hvramp_rctl_087_p96.data high 256
205.986 packet-0050001-2024_07_01_22_59_59_CDT.h5 mpd_run_hvramp_rctl_087_p97.data high 256
205.986 packet-0050001-2024_07_01_22_59_59_CDT.h5 mpd_run_hvramp_rctl_087_p98.data high 256
205.986 packet-0050001-2024_07_01_23_10_00_CDT.h5 mpd_run_hvramp_rctl_087_p98.data high 256
205.986 packet-0050001-2024_07_01_23_10_00_CDT.h5 mpd_run_hvramp_rctl_087_p99.data high 256
205.986 packet-0050001-2024_07_01_23_10_00_CDT.h5 mpd_run_hvramp_rctl_087_p100.data high 256
205.986 packet-0050001-2024_07_01_23_20_01_CDT.h5 mpd_run_hvramp_rctl_087_p100.data high 256
205.986 packet-0050001-2024_07_01_23_20_01_CDT.h5 mpd_run_hvramp_rctl_087_p101.data high 256
205.986 packet-0050001-2024_07_01_23_20_01_CDT.h5 mpd_run_hvramp_rctl_087_p102.data high 256
205.986 packet-0050001-2024_07_01_23_30_02_CDT.h5 mpd_run_hvramp_rctl_087_p102.data high 256
205.986 packet-0050001-2024_07_01_23_30_02_CDT.h5 mpd_run_hvramp_rctl_087_p103.data high 256
